date,19A,19B,20A,20B,20C
26-Dec-2019,1.4,0,0,0,0
8-Jan-2020,1.4,0,0,0,0
13-Jan-2020,1.6,0,0,0,0
21-Jan-2020,1.6,0,0,0,0
22-Jan-2020,1.6,0,0,0,0
23-Jan-2020,1.8,0,0,0,0
24-Jan-2020,2.4,0.6,0,0,0
25-Jan-2020,2.4,0.8,0,0,0
27-Jan-2020,2.4,0.8,0,0,0
28-Jan-2020,2.6,0.8,0,0,0
29-Jan-2020,2.2,1,0,0,0
30-Jan-2020,1.6,0.4,0,0,0
31-Jan-2020,1.4,0.2,0,0,0
1-Feb-2020,1.6,0.2,0,0,0
3-Feb-2020,1,0.4,0,0,0
4-Feb-2020,1.2,0.2,0,0,0
6-Feb-2020,1,0.2,0,0,0
9-Feb-2020,1,0.2,0,0,0
11-Feb-2020,1.2,0.2,0,0,0
13-Feb-2020,1.4,0,0,0,0
14-Feb-2020,1.4,0,0.2,0,0
15-Feb-2020,1.2,0.2,0.2,0,0
16-Feb-2020,1.4,0.2,0.2,0,0
17-Feb-2020,1.2,0.2,1.2,0.4,0
20-Feb-2020,2.2,0.2,1.4,0.4,0
22-Feb-2020,3.2,0.2,1.8,0.8,0
23-Feb-2020,4.8,0,2.6,1.4,0
24-Feb-2020,6.4,0,3.4,2.4,0.2
25-Feb-2020,7.8,0,4.8,2.4,0.4
26-Feb-2020,6.8,0,4.6,2.6,0.4
27-Feb-2020,6,0,4.2,2.4,0.4
28-Feb-2020,4.4,0,3.8,2,0.4
29-Feb-2020,2.8,0.2,3.8,1.2,0.2
1-Mar-2020,1.2,0.2,1.4,1,0
2-Mar-2020,1,0.2,1.6,0.8,0
3-Mar-2020,0.6,0.2,1.8,0.8,0
4-Mar-2020,0.6,0.2,1.4,0.6,0.2
5-Mar-2020,0.6,0,0.8,0.4,0.2
6-Mar-2020,1.2,0,1.2,0.8,0.2
7-Mar-2020,2,0.4,1.4,1.4,0.2
8-Mar-2020,2.4,0.4,1.8,1.2,0.2
9-Mar-2020,3.2,0.6,2.8,1.4,0.2
10-Mar-2020,3,0.6,2.8,1.4,0.6
11-Mar-2020,2.4,0.6,2.8,1,0.6
12-Mar-2020,2.8,0.2,3.4,1.2,0.8
13-Mar-2020,3.2,0.4,3,1.4,1
14-Mar-2020,3.4,0.2,2.4,1.8,1.2
15-Mar-2020,4,0.4,3.2,3,0.8
16-Mar-2020,5,0.4,3.6,3.6,0.8
17-Mar-2020,5.2,0.4,2.8,3.6,0.6
18-Mar-2020,5,0.2,2.8,3.8,0.4
19-Mar-2020,6.4,0.2,3.4,4.8,0.2
20-Mar-2020,8.4,0.2,2.8,5.2,0.4
21-Mar-2020,8.4,0.2,3,5.8,0.4
22-Mar-2020,9,0.2,4,6,0.8
23-Mar-2020,9.4,0.2,4.6,6.8,1
24-Mar-2020,8,0.2,4,6.4,1.2
25-Mar-2020,6,0.2,4.6,5.8,1
26-Mar-2020,5,0.2,5.4,7.2,1.2
27-Mar-2020,3.8,0.6,5.8,7.6,0.8
28-Mar-2020,3,0.6,6,8.2,0.6
29-Mar-2020,2.6,0.6,6.4,7.8,0.6
30-Mar-2020,2.2,0.4,6.6,8,0.6
31-Mar-2020,2,0.4,6.6,6.2,0.4
1-Apr-2020,1.4,0,5.4,5.6,0.4
2-Apr-2020,1.8,0,4.6,4.8,0.4
3-Apr-2020,1.8,0,4.8,4.8,0
4-Apr-2020,2,0,4.8,5.4,0
5-Apr-2020,2.2,0,4,5.2,0.4
6-Apr-2020,2.4,0,4.8,5.4,0.4
7-Apr-2020,2.4,0,5.2,5.6,0.4
8-Apr-2020,1.8,0,5.2,5.6,0.4
9-Apr-2020,1.2,0,4,5.2,0.6
10-Apr-2020,1.2,0,3.6,5.4,0.2
11-Apr-2020,1.2,0.2,3,5,0.2
12-Apr-2020,0.8,0.4,3.4,4.4,0.4
13-Apr-2020,1,0.6,3.6,5.2,0.4
14-Apr-2020,1,0.6,4.4,4.2,0.2
15-Apr-2020,1,0.6,4,3.4,0.4
16-Apr-2020,0.8,0.4,3.8,4.6,0.4
17-Apr-2020,0.8,0.2,3.6,5.4,0.4
18-Apr-2020,0.8,0,3,5,0.4
19-Apr-2020,1.2,0,2.2,5.4,0.6
20-Apr-2020,1,0,2.4,6.8,0.8
21-Apr-2020,0.8,0.2,2.4,5.6,0.8
22-Apr-2020,0.6,0.2,1.4,4.8,1
23-Apr-2020,0.4,0.2,2,5.4,1
24-Apr-2020,0,0.2,2.6,5,1.4
25-Apr-2020,0.2,0.2,2.8,5,1
26-Apr-2020,0.2,0,3.2,4.6,1
27-Apr-2020,0.4,0,4.6,6,0.8
28-Apr-2020,0.4,0,4,6.2,0.8
29-Apr-2020,0.6,0,4.4,6.6,0.2
30-Apr-2020,0.8,0,4.4,6.8,0.8
1-May-2020,1,0.2,4,8.2,1
2-May-2020,0.8,0.2,4.4,8,1
3-May-2020,0.8,0.2,5.6,7.4,1.2
4-May-2020,0.8,0.2,5.6,7.4,1.2
5-May-2020,0.4,0.2,6.2,6.6,0.6
6-May-2020,0.2,0,6.2,5.8,0.4
7-May-2020,0.2,0,5.4,5.2,0.4
8-May-2020,0.4,0,4.4,4.6,0.2
9-May-2020,0.8,0,4,4.6,0.4
10-May-2020,1,0.2,3.8,5.8,0.6
11-May-2020,1.2,0.2,3.8,6.2,0.8
12-May-2020,1.2,0.2,3,5.8,0.6
13-May-2020,1,0.2,2.8,5.8,0.6
14-May-2020,0.8,0.2,3.2,6.8,0.4
15-May-2020,0.8,0,2.8,6.2,0.4
16-May-2020,0.6,0,2.8,5.6,0.2
17-May-2020,0.6,0,3.8,5.2,0.2
18-May-2020,0.6,0.2,3.6,5.6,0.2
19-May-2020,0.2,0.2,2.8,4.8,0.4
20-May-2020,0,0.2,2.2,3.4,0.2
21-May-2020,0,0.2,2.4,3.6,0.2
22-May-2020,0,0.2,1.4,3.8,0.2
23-May-2020,0.2,0,1.6,3.8,0.4
24-May-2020,0.2,0,1.4,3.4,0.2
25-May-2020,0.2,0,1.6,4,0.2
26-May-2020,0.2,0,1.2,3.4,0.2
27-May-2020,0.2,0,1,2.8,0.4
28-May-2020,0,0,1.4,1.8,0.2
29-May-2020,0,0.6,4.2,3,0.4
30-May-2020,0.8,0.6,4.2,4.4,0.6
31-May-2020,1.6,0.8,5.2,5.6,1.4
1-Jun-2020,1.8,1,7.4,6.6,2.2
2-Jun-2020,1.8,1,7.6,7.8,2.2
3-Jun-2020,1.8,0.4,5.2,8.8,2
4-Jun-2020,1.6,0.4,6.2,10,2.4
5-Jun-2020,1,0.2,7.2,12,1.6
6-Jun-2020,0.8,0.2,7,12.4,0.8
7-Jun-2020,0.8,0.2,7.4,13.6,1.2
8-Jun-2020,0.8,0.2,7.6,12.2,1.4
9-Jun-2020,0.2,0.2,7.2,10.6,0.8
10-Jun-2020,0,0.2,5.4,8.4,1
11-Jun-2020,0,0,4.2,9.6,2.6
12-Jun-2020,0.4,0.2,3.2,9.6,2.8
13-Jun-2020,0.8,0.2,4.2,12.4,3.4
14-Jun-2020,0.8,0.2,4,12.8,3.6
15-Jun-2020,0.8,0.2,4.8,13.6,4
16-Jun-2020,0.8,0.2,4.6,12.6,2.2
17-Jun-2020,0.4,0,4.2,12.8,1.6
18-Jun-2020,0.4,0.2,3,8.8,1.4
19-Jun-2020,0.8,0.2,5,8.4,1.4
20-Jun-2020,0.8,0.2,5.8,8.4,0.8
21-Jun-2020,0.8,0.2,6.4,8,1.2
22-Jun-2020,0.8,0.2,9.4,7.8,2
23-Jun-2020,0.4,0,10,10.4,1.6
24-Jun-2020,0.2,0,7.8,9.4,2
25-Jun-2020,0.2,0,6.6,9.2,2.6
26-Jun-2020,0.2,0,7.6,10.6,2.6
27-Jun-2020,0.4,0,5.2,10.8,1.8
28-Jun-2020,0.4,0,4.6,10.4,1.6
29-Jun-2020,0.2,0,5,12.8,1.8
30-Jun-2020,0.2,0.6,5.2,12,2.2
1-Jul-2020,0.2,0.6,3.4,10,1.8
2-Jul-2020,0,0.6,3.8,9.8,2
3-Jul-2020,0,0.6,4.6,9.6,2
4-Jul-2020,0,0.6,4.8,8,1.2
5-Jul-2020,0,0,4.2,8.2,0.2
6-Jul-2020,0,0,4.2,10,0.2
7-Jul-2020,0,0,3.6,9,0
8-Jul-2020,0,0,2.4,8,0.4
9-Jul-2020,0,0,2,8.4,0.6
10-Jul-2020,0,0,2.6,9.8,0.6
11-Jul-2020,0,0,3.2,11,0.6
12-Jul-2020,0,0,4.4,12.2,0.8
13-Jul-2020,0,0,6,13.8,0.4
14-Jul-2020,0,0,5.6,14.2,0.2
15-Jul-2020,0,0,5.8,15.2,0.2
16-Jul-2020,0,0,6.8,15.2,1.6
17-Jul-2020,0,0,5.6,13.6,2.2
18-Jul-2020,0,0,5.2,14.2,2.4
19-Jul-2020,0,0,5.8,15.6,2.4
20-Jul-2020,0,0,6.4,18.2,2.8
21-Jul-2020,0,0,5.6,16.4,1.6
22-Jul-2020,0.2,0,5.4,16.4,1.2
23-Jul-2020,0.2,0,4.8,17.4,1
24-Jul-2020,0.2,0,4.6,18.2,1.2
25-Jul-2020,0.2,0,5.2,14.6,0.8
26-Jul-2020,0.2,0,5,13.4,0.8
27-Jul-2020,0,0,6.4,13.8,0.6
28-Jul-2020,0,0,7.6,10.2,1.6
29-Jul-2020,0,0,8.2,6,2
30-Jul-2020,0,0,7,4.8,2
31-Jul-2020,0,0.2,9.6,5.6,2
1-Aug-2020,0,0.2,9,5,1.8
2-Aug-2020,0,0.2,9.8,7.6,1
3-Aug-2020,0,0.2,10.8,9,0.8
4-Aug-2020,0,0.2,10,8.6,0.8
5-Aug-2020,0,0,7.4,7.8,0.6
6-Aug-2020,0,0,9.6,9.6,0.6
7-Aug-2020,0,0,8.2,8.2,0.8
8-Aug-2020,0,0,7,9.2,1.2
9-Aug-2020,0,0,7.6,10.8,1.4
10-Aug-2020,0,0,7.6,11.8,1.4
11-Aug-2020,0,0,4.4,10.2,1.4
12-Aug-2020,0,0,3.6,9.2,1
13-Aug-2020,0,0,6.2,9.2,0.2
14-Aug-2020,0,0,7.4,8.4,0.2
15-Aug-2020,0,0,8.2,8,0.2
16-Aug-2020,0.2,0,9.4,9.2,0.2
17-Aug-2020,0.2,0,10.2,9.8,0.2
18-Aug-2020,0.2,0,7.4,7,0.2
19-Aug-2020,0.4,0,8.4,6.6,0
20-Aug-2020,0.4,0,9.4,5.8,0.2
21-Aug-2020,0.2,0,10.2,5.2,0.2
22-Aug-2020,0.2,0,9.6,5.2,0.4
24-Aug-2020,0.2,0,9.4,7,0.4
25-Aug-2020,0.2,0,7.6,6.4,0.4
26-Aug-2020,0.2,0,5.4,7.6,0.2
27-Aug-2020,0.2,0,5,6.2,0.6
28-Aug-2020,0.2,0,5.8,5.8,1.2
29-Aug-2020,0.2,0,7.2,4.6,1.2
30-Aug-2020,0,0,8.8,5.6,1.2
31-Aug-2020,0,0,8.8,4.8,1.2
1-Sep-2020,0,0,7.4,5.4,0.8
2-Sep-2020,0,0,6.4,4.6,0
3-Sep-2020,0,0,7,5.4,0
4-Sep-2020,0,0,5.2,4.6,0
5-Sep-2020,0,0,7.6,5.6,0
6-Sep-2020,0,0,10.6,6.4,0
7-Sep-2020,0,0,12,6.2,0
8-Sep-2020,0,0,9.4,5.6,0
9-Sep-2020,0,0,9.2,4.8,0
10-Sep-2020,0,0,7.2,3.6,0
11-Sep-2020,0,0,5.2,2,0
12-Sep-2020,0,0,5,3.2,0
13-Sep-2020,0,0,5.2,2.6,0
14-Sep-2020,0,0,5.2,2.8,0
15-Sep-2020,0,0,4.4,2.4,0
16-Sep-2020,0,0,3.8,2.2,0
17-Sep-2020,0,0,2.4,1.4,0
18-Sep-2020,0,0,4,1.6,0
19-Sep-2020,0,0,3.2,1.2,0
20-Sep-2020,0,0,3.8,1,0
21-Sep-2020,0,0,3.4,1,0
22-Sep-2020,0,0,3.6,0.4,0
23-Sep-2020,0,0,2.2,0,0
24-Sep-2020,0,0,3,0.2,0
25-Sep-2020,0,0,3.2,0.2,0
26-Sep-2020,0,0,4.6,0.6,0
27-Sep-2020,0,0,6.4,0.6,0
1-Oct-2020,0,0,7.6,0.6,0
2-Oct-2020,0,0,8.2,0.6,0
3-Oct-2020,0,0,8.2,0.8,0
4-Oct-2020,0,0,7,0.6,0
5-Oct-2020,0,0,6,0.75,0
6-Oct-2020,0,0,5.333333333,1,0
7-Oct-2020,0,0,4,1,0
8-Oct-2020,0,0,3,1,0
